diff_infos,new_price,old_price,nr_of_reviews,rating,availability
"Laptop Lenovo V130-15IKB cu procesor Intel® Core™ i5-7200U pana la 3.10 GHz, Kaby Lake, 15.6"", 4GB, 500GB, Intel® HD Graphics 620, Free DOS, Iron Grey",1.69999 Lei,"2.29999 Lei(-26%)
                ",1 review,width: 100%,în stoc
"Laptop Apple MacBook Air 13 cu procesor Intel® Dual Core™ i5 1.80GHz, 13.3"", 8GB, 128GB SSD, Intel® HD Graphics 6000, INT KB, Silver",4.19999 Lei,"5.79999 Lei(-27%)
                ",64 de review-uri,width: 87.6%,în stoc
"Laptop ASUS X509FA cu procesor Intel® Core™ i5-8265U pana la 3.90 GHz Whiskey Lake, 15.6"", Full HD, 8GB, 512GB SSD, Intel UHD Graphics 620, Free DOS, Transparent Silver",2.19999 Lei,"2.99999 Lei(-26%)
                ",0 review-uri,width: 0%,în stoc
"Laptop ASUS Vivobook X512DK cu procesor AMD® Ryzen™ 5 3500U pana la 3.70 GHz, 15.6"", Full HD, 8GB, 512GB SSD, AMD Radeon™ R540X 2GB, Free DOS, Slate Gray",2.44999 Lei,"2.99999 Lei(-18%)
                ",4 review-uri,width: 95%,ultimul produs in stoc
"Laptop HP 15-da0040nq cu procesor Intel® Core™ i5-8250U pana la 3.40 GHz, Kaby Lake, 15.6"", Full HD, 8GB, 1TB, DVD-RW, NVIDIA® GeForce® MX130 4GB, Free DOS, Black",2.29999 Lei,"3.49999 Lei(-34%)
                ",22 de review-uri,width: 82.8%,în stoc
"Laptop ASUS X540MA-GO207 cu procesor Intel® Celeron® N4000 pana la 2.60 GHz, 15.6"", 4GB, 500GB, Intel® UHD Graphics 600, Endless OS, Chocolate Black",89999 Lei,"1.29999 Lei(-30%)
                ",3 review-uri,width: 66.6%,în stoc
"Laptop ASUS X512DK cu procesor AMD® Ryzen 5 3500U pana la 3.70 GHz, 15.6"", Full HD, 8GB, 512GB SSD, AMD Radeon™ R540X 2GB, Free DOS, Coral Crush",2.39999 Lei,"2.99999 Lei(-20%)
                ",0 review-uri,width: 0%,în stoc
"Laptop Gaming OMEN by HP 15-dc0014nq cu procesor Intel® Core™ i7-8750H pana la 4.10 GHz, Coffee Lake, 15.6"", Full HD, IPS, 8GB, 1TB, NVIDIA® GeForce® GTX 1050 Ti 4GB, Free DOS, Black",4.09999 Lei,"5.69999 Lei(-28%)
                ",8 review-uri,width: 90%,în stoc
"Laptop HP 15-da0042nq cu procesor Intel® Core™ i5-8250U pana la 3.40 GHz Kaby Lake R, 15.6"", Full HD, 4GB, 1TB HDD, DVD-RW, Intel® UHD Graphics, Free DOS, Sparkling Black",1.84999 Lei,"2.39999 Lei(-22%)
                ",0 review-uri,width: 0%,în stoc
"Laptop ASUS X540MA cu procesor Intel® Celeron® N4000 pana la 2.60 GHz, 15.6"", 4GB, 256GB SSD, DVD-RW, Intel® UHD Graphics 600, Endless OS, Chocolate Black",1.04999 Lei,"1.39999 Lei(-25%)
                ",15 review-uri,width: 82.6%,în stoc
"Laptop ASUS X512FA cu procesor Intel® Core™ i7-8565U pana la 4.6 GHz, 15.6"", Full HD, 8GB, 1TB HDD, Intel UHD Graphics 620, Free DOS, Slate Gray",2.49999 Lei,"3.59999 Lei(-30%)
                ",0 review-uri,width: 0%,în stoc
"Laptop ASUS X540MA-GO550T cu procesor Intel® Celeron® N4000 pana la 2.60 GHz, 15.6"", 4GB, 256GB SSD, Intel UHD Graphics 600, Microsoft Windows 10, Chocolate Black",1.39999 Lei,"1.69999 Lei(-17%)
                ",6 review-uri,width: 86.6%,în stoc
"Laptop ASUS X509FB cu procesor Intel® Core™ i7-8565U pana la 4.60 GHz, Whiskey Lake, 15.6"", Full HD, 8GB, 1TB, NVIDIA GeForce MX110 2GB, Endless OS, Slate Gray",2.89999 Lei,"3.39999 Lei(-14%)
                ",0 review-uri,width: 0%,în stoc
"Laptop ASUS VivoBook 15 X512UA cu procesor Intel® Core™ i5-8250U pana la 3.40 GHz, Kaby Lake R, 15.6"", Full HD, 8GB, 256GB SSD, Intel UHD Graphics 620, Free DOS, Transparent Silver",2.59999 Lei,"2.94999 Lei(-11%)
                ",1 review,width: 60%,în stoc
"Laptop gaming ASUS ROG Strix G531GT cu procesor Intel® Core™ i5-9300H pana la 4.0 GHz Coffee Lake, 15.6"", Full HD, IPS, 120Hz, 8GB, 256GB SSD + 1TB HDD, NVIDIA GeForce GTX 1650 4GB, Free DOS, Black",3.99999 Lei,"5.19999 Lei(-23%)
                ",0 review-uri,width: 0%,în stoc
"Laptop ASUS X512FA cu procesor Intel® Core™ i5-8265U pana la 3.9 GHz, 15.6"", Full HD, 8GB, 256GB SSD M.2, Intel UHD Graphics 620, Free DOS, Coral Crush",2.54999 Lei,"2.99999 Lei(-15%)
                ",0 review-uri,width: 0%,în stoc
"Laptop Lenovo Ideapad S145-15IWL cu procesor Intel Core i5-8265U pana la 3.9 Ghz, 15.6"", HD, 4GB, 128GB SSD M.2, Intel UHD Graphics 620, Free DOS, Grey",1.74999 Lei,"2.19999 Lei(-20%)
                ",3 review-uri,width: 93.4%,în stoc
"Laptop Gaming ASUS Rog Strix GL503GE cu procesor Intel® Core™ i5-8300H pana la 4.00 GHz, 15.6”, Full HD, 8GB, 256GB SSD M.2 + 1TB HDD, GeForce GTX 1050Ti 4GB, Free DOS, Gunmetal",3.49999 Lei,"5.49999 Lei(-36%)
                ",3 review-uri,width: 40%,în stoc
"Laptop Gaming HP Pavilion 15-cx0008nq cu procesor Intel® Core™ i7-8750H pana la 4.10 GHz, Coffee Lake, 15.6"", Full HD, IPS, 8GB, 1TB, NVIDIA® GeForce® GTX 1050 Ti 4GB, Free DOS, Black",3.49999 Lei,"4.89999 Lei(-28%)
                ",17 review-uri,width: 77.6%,în stoc
"Laptop Gaming Asus ROG Strix G531GU cu procesor Intel® Core™ i7-9750H pana la 4.5 GHz, 15.6"", Full HD, 8GB, 256Gb SSD M.2, NVIDIA GeForce GTX 1660Ti 6GB, Free DOS, Black",5.09999 Lei,"5.99999 Lei(-15%)
                ",2 review-uri,width: 90%,în stoc
"Laptop Dell Inspiron 3582 cu procesor Intel® Celeron® N4000 pana la 2.60 GHz, 15.6"", 4GB, 500GB, DVD-RW, Intel® UHD Graphics 600, Linux, Black",94999 Lei,"1.29999 Lei(-26%)
                ",1 review,width: 100%,în stoc
"Laptop Dell Inspiron 3584 cu procesor Intel Core i3-7020U 2.3 GHz, 15.6"", Full HD, 4GB, 1TB HDD, Intel HD Graphics 620, Ubuntu, Black",1.49999 Lei,"1.69999 Lei(-11%)
                ",5 review-uri,width: 96%,ultimul produs in stoc
"Laptop gaming ASUS TUF FX505DY cu procesor AMD Ryzen 5 3550H pana la 3.70 GHz, 15.6"", Full HD, 16GB, 1TB HDD, AMD RADEON RX560X 4GB, Free DOS, Red Matter",3.09999 Lei,"3.79999 Lei(-18%)
                ",1 review,width: 100%,în stoc
"Laptop Gaming ASUS TUF FX505DT cu procesor AMD Ryzen 7-3750H pana la 4.0GHz, 15.6"", Full HD, 120Hz, 8GB, 1TB HDD, 256GB SSD M.2, NVIDIA® GeForce GTX 1650 4GB GDDR5, Free DOS, Black",4.59998 Lei,,5 review-uri,width: 96%,în stoc
"Laptop Gaming Lenovo Legion Y7000 cu procesor Intel® Core i5-9300H pana la 4.10 GHz, 15.6"", Full HD, IPS, 8GB, 256GB SSD M.2, NVIDIA GeForce GTX 1650 4GB GDDR5, Free DOS, Black",3.49999 Lei,"3.89999 Lei(-10%)
                ",6 review-uri,width: 83.4%,în stoc
"Laptop Lenovo V130-15IKB, cu procesor Intel® Celeron 3867U 1.80 GHz, Dual Core, 15.6"", HD, 4GB, 500GB HDD, Intel HD Graphics 610, Free DOS, Iron Grey",89999 Lei,"99999 Lei(-10%)
                ",2 review-uri,width: 60%,în stoc
"Laptop ASUS A509FA cu procesor Intel® Core™ i3-8145U pana la 3.9 GHz, 15.6"", Full HD, 4GB, 256GB SSD M.2, Intel UHD Graphics 620, Free DOS, Slate Gray",1.68999 Lei,"2.04999 Lei(-17%)
                ",2 review-uri,width: 80%,în stoc
